,review_movie_title,review_username,review_rating
13,Interstellar,ummer-51499,10.0
14,Interstellar,rahatafnan-48050,10.0
15,Interstellar,roycaspers,10.0
16,Interstellar,luciachicheri,10.0
17,Interstellar,bjebleoversoul,10.0
18,Interstellar,castanedarobert-07211,10.0
19,Interstellar,shervin-farmnafarmaee,10.0
20,Interstellar,davidmariottini,10.0
21,Interstellar,rockfordmoore,10.0
22,Interstellar,gorisjoel,10.0
23,Interstellar,sahilhossain-05527,10.0
48,Interstellar,karenlemosb,10.0
49,Interstellar,d-41769,9.0
50,Interstellar,marinelademrozi,10.0
51,Interstellar,ivantur-92667,10.0
52,Interstellar,Nuwan_Madushanka_Hettiarachchi,10.0
53,Interstellar,xlucianox,10.0
54,Interstellar,ravishangamakumbura,10.0
55,Interstellar,chinayuhongwei,10.0
56,Interstellar,naufalkece,10.0
57,Interstellar,amirkinggame-63018,10.0
58,Interstellar,xxthespinerxx,10.0
59,Interstellar,uslfdwong,10.0
60,Interstellar,vishaltesla,9.0
61,Interstellar,maisafaris,10.0
62,Interstellar,corgizzzq,7.0
63,Interstellar,neerajmanjhi-59996,9.0
104,Interstellar,somnath796,10.0
105,Interstellar,ryanwickens-02663,10.0
106,Interstellar,hyagoessemusic,10.0
107,Interstellar,nicolex-47992,10.0
108,Interstellar,louitlippstreu,10.0
109,Interstellar,jleall,10.0
110,Interstellar,hossein_sfa,10.0
111,Interstellar,TIvalio,9.0
112,Interstellar,herladonegro,9.0
113,Interstellar,charlesfarinasonesix,10.0
114,Interstellar,binnybenedict,10.0
115,Interstellar,abdullaahziad,10.0
116,Interstellar,sontya,10.0
117,Interstellar,katgurl81,10.0
118,Interstellar,SaysFaezeh,6.0
119,Interstellar,moralesvidesign,10.0
120,Interstellar,ubWanted,8.0
121,Interstellar,erafatema,8.0
122,Interstellar,emrr-94323,10.0
123,Interstellar,diiveraly,8.0
124,Interstellar,bryanbernardi,10.0
125,Interstellar,sujeetdon,10.0
126,Interstellar,YTTechPorwal,10.0
190,Interstellar,krishna-71074,9.0
191,Interstellar,martjoerg,10.0
192,Interstellar,saulzgm,8.0
193,Interstellar,escobarjeronimo,10.0
194,Interstellar,tanwarshukrantcool,10.0
195,Interstellar,DanielleMeggoe,10.0
196,Interstellar,dharshinirufus,10.0
197,Interstellar,guillembarcelo,10.0
198,Interstellar,infoarshad-17239,10.0
199,Interstellar,marcusreynolds-35762,9.0
200,Interstellar,issoambanje,9.0
201,Interstellar,clemensbade,9.0
202,Interstellar,oscarinformaticautem,10.0
203,Interstellar,skd-84870,10.0
204,Interstellar,motherearth-53054,10.0
205,Interstellar,johnnybooney,10.0
206,Interstellar,dmggzht,9.0
207,Interstellar,ruchityoyo,10.0
208,Interstellar,kamilbabaoglu,9.0
209,Interstellar,lucyemiller-35873,8.0
293,Interstellar,Flomesy,10.0
294,Interstellar,namikazeminatoz,10.0
295,Interstellar,fabianvargasretamal,9.0
296,Interstellar,elyssacastro,10.0
297,Interstellar,suhansaha-75321,10.0
298,Interstellar,annalizlaz-32501,10.0
299,Interstellar,sgtbudd,9.0
300,Interstellar,jasper-72283,10.0
301,Interstellar,iamalexismonet,9.0
302,Interstellar,huntlocals,10.0
303,Interstellar,rimvydasardickas,10.0
304,Interstellar,mustafaalikaratas,10.0
305,Interstellar,nrdgn,10.0
306,Interstellar,galantix-11855,10.0
307,Interstellar,asadallahkarimi,10.0
308,Interstellar,amiraabdelfattah,10.0
309,Interstellar,cyansmoking,10.0
310,Interstellar,digitalkarecom,9.0
311,Interstellar,wwddrpzq,10.0
312,Interstellar,michaelberteotti,10.0
313,Interstellar,pozdravime,10.0
418,Interstellar,qqe128,10.0
419,Interstellar,jbrshp,10.0
420,Interstellar,ysaad-15683,10.0
421,Interstellar,aidendavenport,10.0
